,0,1
1304,US,North America
1305,US,North America
1306,GT,North America
1307,US,North America
1308,US,North America
1309,PK,Asia
1310,PK,Asia
1311,US,North America
1312,PK,Asia
1313,US,North America
1314,US,North America
1315,US,North America
1316,US,North America
1317,US,North America
1318,US,North America
1319,US,North America
1320,US,North America
1321,US,North America
1322,US,North America
1323,US,North America
1324,US,North America
1325,US,North America
1326,US,North America
1327,US,North America
1328,US,North America
1329,US,North America
1330,US,North America
1331,US,North America
1332,US,North America
1333,US,North America
1334,US,North America
1335,US,North America
1336,PK,Asia
1337,CA,North America
1338,US,North America
1339,US,North America
1340,US,North America
1341,US,North America
1342,US,North America
1343,US,North America
1344,US,North America
1345,US,North America
1346,US,North America
1347,US,North America
1348,US,North America
1349,US,North America
1350,US,North America
1351,US,North America
1352,US,North America
1353,US,North America
1354,US,North America
1355,US,North America
1356,US,North America
1357,US,North America
1358,US,North America
1359,US,North America
1360,US,North America
1361,US,North America
1362,PK,Asia
1363,CA,North America
1364,US,North America
1365,,
1366,US,North America
1367,GB,Europe
1368,US,North America
1369,US,North America
1370,US,North America
1371,US,North America
1372,US,North America
1373,US,North America
1374,US,North America
1375,US,North America
1376,US,North America
1377,US,North America
1378,US,North America
1379,US,North America
1380,US,North America
1381,US,North America
1382,PK,Asia
1383,IN,Asia
1384,US,North America
1385,GB,Europe
1386,CA,North America
1387,US,North America
1388,US,North America
1389,US,North America
1390,US,North America
1391,US,North America
1392,US,North America
1393,US,North America
1394,US,North America
1395,US,North America
1396,US,North America
1397,US,North America
1398,US,North America
1399,US,North America
1400,CA,North America
1401,US,North America
1402,US,North America
1403,US,North America
1404,US,North America
1405,US,North America
1406,US,North America
1407,US,North America
1408,US,North America
1409,US,North America
1410,US,North America
1411,US,North America
1412,US,North America
1413,US,North America
1414,US,North America
1415,US,North America
1416,US,North America
1417,US,North America
1418,US,North America
1419,US,North America
1420,US,North America
1421,,
1422,US,North America
1423,US,North America
1424,US,North America
1425,US,North America
1426,IN,Asia
1427,US,North America
1428,PK,Asia
1429,US,North America
1430,US,North America
1431,US,North America
1432,US,North America
1433,US,North America
1434,US,North America
1435,US,North America
1436,US,North America
1437,US,North America
1438,,
1439,CA,North America
1440,IN,Asia
1441,US,North America
1442,US,North America
1443,US,North America
1444,US,North America
1445,US,North America
1446,US,North America
1447,US,North America
1448,US,North America
1449,US,North America
1450,US,North America
1451,US,North America
1452,US,North America
1453,US,North America
1454,US,North America
1455,US,North America
1456,GB,Europe
1457,US,North America
1458,US,North America
1459,US,North America
1460,US,North America
1461,US,North America
1462,US,North America
1463,US,North America
1464,US,North America
1465,US,North America
1466,US,North America
1467,US,North America
1468,CA,North America
1469,US,North America
1470,US,North America
1471,US,North America
1472,US,North America
1473,US,North America
1474,US,North America
1475,US,North America
1476,US,North America
1477,PK,Asia
1478,US,North America
1479,US,North America
1480,PK,Asia
1481,US,North America
1482,US,North America
1483,GB,Europe
1484,IN,Asia
1485,US,North America
1486,CA,North America
1487,US,North America
1488,US,North America
1489,US,North America
1490,US,North America
1491,US,North America
1492,US,North America
1493,US,North America
1494,US,North America
1495,US,North America
1496,US,North America
1497,US,North America
1498,US,North America
1499,US,North America
1500,PK,Asia
1501,US,North America
1502,US,North America
1503,US,North America
1504,US,North America
1505,IN,Asia
1506,IN,Asia
1507,US,North America
1508,US,North America
1509,US,North America
1510,US,North America
1511,US,North America
1512,IN,Asia
1513,US,North America
1514,US,North America
1515,US,North America
1516,US,North America
1517,US,North America
1518,US,North America
1519,US,North America
1520,US,North America
1521,US,North America
1522,US,North America
1523,US,North America
1524,US,North America
1525,US,North America
1526,IN,Asia
1527,US,North America
1528,IN,Asia
1529,US,North America
1530,US,North America
1531,US,North America
1532,US,North America
1533,US,North America
1534,US,North America
1535,US,North America
1536,US,North America
1537,,
1538,US,North America
1539,US,North America
1540,,
1541,US,North America
1542,US,North America
1543,US,North America
1544,US,North America
1545,US,North America
1546,US,North America
1547,US,North America
1548,US,North America
1549,US,North America
1550,US,North America
1551,US,North America
1552,US,North America
1553,US,North America
1554,US,North America
1555,US,North America
1556,US,North America
1557,US,North America
1558,US,North America
1559,US,North America
1560,US,North America
1561,IN,Asia
1562,US,North America
1563,US,North America
1564,PK,Asia
1565,US,North America
1566,US,North America
1567,US,North America
1568,PK,Asia
1569,US,North America
1570,US,North America
1571,US,North America
1572,US,North America
1573,PK,Asia
1574,US,North America
1575,GB,Europe
1576,CA,North America
1577,US,North America
1578,IN,Asia
1579,CA,North America
1580,US,North America
1581,US,North America
1582,US,North America
1583,US,North America
1584,US,North America
1585,IN,Asia
1586,US,North America
1587,US,North America
1588,US,North America
1589,US,North America
1590,JP,Asia
1591,US,North America
1592,US,North America
1593,US,North America
1594,US,North America
1595,US,North America
1596,US,North America
1597,IN,Asia
1598,PK,Asia
1599,CA,North America
1600,US,North America
1601,US,North America
1602,US,North America
1603,US,North America
1604,,
1605,GT,North America
1606,US,North America
1607,PK,Asia
1608,US,North America
1609,US,North America
1610,US,North America
1611,US,North America
1612,US,North America
1613,US,North America
1614,US,North America
1615,US,North America
1616,CA,North America
1617,US,North America
1618,US,North America
1619,IN,Asia
1620,US,North America
1621,US,North America
1622,US,North America
1623,US,North America
1624,US,North America
1625,PK,Asia
1626,US,North America
1627,US,North America
1628,US,North America
1629,US,North America
1630,US,North America
1631,US,North America
1632,US,North America
1633,US,North America
1634,US,North America
1635,US,North America
1636,US,North America
