,Name,Platform,Publisher,Chartz_Score,User_Score,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year_of_Release,Genre
8873, Paws & Claws: Pet Resort     ,THQ  ,ValuSoft  ,,,,0.16,0.12,0.04,,0.00,13 Feb 06  ,Simulation
8874, Kya: Dark Lineage     ,Atari  ,Eden Games  ,,,,0.16,0.08,0.06,,0.02,18 Nov 03  ,Adventure
8875, Cities: Skylines     ,Paradox Interactive   ,Colossal Order  ,,,,0.16,,0.15,,0.01,10 Mar 15  ,Simulation
8876, NPPL Championship Paintball 2009     ,Activision  ,Sand Grain Studios  ,,,,0.16,0.15,0.00,,0.02,18 Nov 08  ,Shooter
8877, Curious George     ,Namco  ,Torus Games  ,,6.6  ,,0.16,0.12,0.04,,0.00,01 Feb 06  ,Action
8878, Lethal Skies II     ,Sammy Corporation  ,"Asmik Ace Entertainment, Inc.  ",,,,0.16,0.08,0.06,,0.02,09 Sep 03  ,Simulation
8879, Guilty Gear Judgment     ,Majesco  ,Arc System Works  ,,7.5  ,,0.16,0.13,0.00,0.02,0.01,05 Sep 06  ,Fighting
8880, Pac-Man Championship Edition 2 + Arcade Game Series     ,Namco Bandai Games  ,Namco Bandai Games  ,,,,0.16,0.15,,,0.02,01 Nov 16  ,Action
8881, Puzzle Quest: Galactrix     ,D3 Publisher  ,Infinite Interactive  ,,,,0.16,0.15,0.00,,0.01,24 Feb 09  ,Puzzle
8882, NCAA Football 09 All-Play     ,EA Sports  ,Team Fusion  ,3.0  ,5.3  ,,0.16,0.15,,,0.01,15 Jul 08  ,
8883, Kamaitachi no Yoru � 3     ,Sega  ,ChunSoft  ,,,,0.16,,,0.16,,27 Jul 06  ,Adventure
8884, Fracture     ,LucasArts  ,Day 1 Studios  ,,4.0  ,,0.16,0.11,0.04,,0.02,07 Oct 08  ,Shooter
8885, Tom and Jerry: Infurnal Escape      ,NewKidCo  ,Cinegroupe  ,,,,0.16,0.12,0.04,,0.00,14 Mar 03  ,Action
8886, Eiyuu Densetsu: Zero no Kiseki     ,Falcom Corporation  ,Nihon Falcom Corporation  ,,,,0.16,,,0.16,,30 Sep 10  ,Role-Playing
8887, Disney's American Dragon Jake Long: Attack of the Dark Dragon     ,Buena Vista  ,WayForward Technologies  ,,,,0.16,0.15,,,0.01,12 Oct 06  ,Action
8888, King's Field     ,ASCII Entertainment  ,From Software  ,,7.1  ,,0.16,0.09,0.06,,0.01,31 Dec 95  ,Role-Playing
8889, Putty Squad     ,System 3  ,Unknown  ,,,,0.16,0.06,0.07,,0.03,29 Nov 13  ,Misc
8890, Let's Ride: Sunshine Stables     ,THQ  ,Independent Arts Software GmbH  ,,,,0.16,0.12,0.04,,0.00,04 Oct 05  ,Sports
8891, Monster Jam     ,Activision  ,Torus Games  ,,,,0.16,0.15,0.00,,0.01,19 Nov 07  ,Racing
8892, World Stadium 4     ,Namco  ,Namco  ,,,,0.16,,,0.15,0.01,23 Mar 00  ,Sports
8893, Midway Arcade Treasures 2     ,Midway Games  ,Backbone Entertainment  ,,7.2  ,,0.16,0.13,0.03,,0.00,11 Oct 04  ,Misc
8894, El Shaddai: Ascension of the Metatron     ,Ignition Entertainment  ,Ignition Entertainment  ,,8.0  ,,0.16,0.07,0.05,0.03,0.01,16 Aug 11  ,Action
8895, Hot Wheels World Race     ,THQ  ,Climax Group  ,,,,0.16,0.13,0.03,,0.00,31 Oct 03  ,Racing
8896, Valkyria Revolution     ,Sega  ,Media.Vision Entertainment  ,,,,0.16,0.04,0.03,0.08,0.01,27 Jun 17  ,Role-Playing
8897, Apache: Air Assault     ,Activision  ,Gaijin Entertainment  ,,6.8  ,,0.16,0.12,0.03,,0.01,16 Nov 10  ,Simulation
8898, San Goku Shi Taisen DS     ,Sega  ,Sega  ,,,,0.16,,,0.16,,25 Jan 07  ,Strategy
8899, Kawa no Nushi Tsuri     ,Victor Interactive  ,Victor Interactive Software  ,,,,0.16,,,0.15,0.01,20 Aug 98  ,Sports
8900, Marble Saga: Kororinpa     ,Konami  ,Hudson Soft  ,7.8  ,7.4  ,,0.16,0.09,0.05,0.00,0.01,17 Mar 09  ,Puzzle
8901, Magic: The Gathering - Battlegrounds     ,Atari  ,Secret Level  ,,,,0.16,0.12,0.03,,0.01,18 Nov 03  ,Strategy
8902, N2O: Nitrous Oxide     ,Fox Interactive  ,Gremlin Interactive  ,,,,0.16,0.09,0.06,,0.01,30 Jun 98  ,Racing
8903, Spider-Man: Web of Shadows - Amazing Allies Edition     ,Activision  ,Shaba Games  ,,7.7  ,,0.16,0.12,0.02,,0.02,21 Oct 08  ,Action
8904, Angry Birds: Star Wars     ,Activision  ,Exient Entertainment  ,,,,0.16,0.11,0.04,,0.02,22 Nov 13  ,Puzzle
8905, Dancing with the Stars     ,Activision  ,Zoe Mode  ,,,,0.16,0.08,0.06,,0.02,23 Oct 07  ,Misc
8906, Goosebumps HorrorLand     ,Scholastic Inc.  ,Gusto Games  ,,,,0.16,0.15,0.00,,0.01,28 Oct 08  ,Adventure
8907, Rio     ,THQ  ,TBA  ,,,,0.16,0.12,0.03,,0.01,12 Apr 11  ,
8908, Otogirisou     ,ChunSoft  ,ChunSoft  ,,,,0.16,,,0.16,,07 Mar 92  ,Adventure
8909, SD Gundam G Generation 3D     ,Namco Bandai  ,Unknown  ,,,,0.16,,,0.16,,22 Dec 11  ,Action
8910, Crash Tag Team Racing     ,VU Games  ,Radical Entertainment  ,,,,0.16,0.12,0.03,,0.00,19 Oct 05  ,Racing
8911, Zoo Hospital     ,Majesco  ,Torus Games  ,,,,0.16,0.14,0.01,,0.01,22 Sep 08  ,Simulation
8912, True Swing Golf     ,Nintendo  ,Tikipod  ,,,,0.16,0.11,0.00,0.04,0.01,23 Jan 06  ,Sports
8913, Beowulf: The Game     ,Ubisoft  ,Ubisoft  ,,,,0.16,0.14,0.01,,0.01,13 Nov 07  ,Action
8914, Family Feud Decades     ,Ubisoft  ,Ludia Inc.  ,,,,0.16,0.15,,,0.01,09 Nov 10  ,Misc
8915, Thrillville: Off the Rails     ,LucasArts  ,Frontier Developments  ,,,,0.16,0.13,0.02,,0.01,09 Oct 07  ,Strategy
8916, Michael Jackson: The Experience     ,Ubisoft  ,Ubisoft Montreal  ,,,,0.16,0.11,0.03,,0.03,23 Nov 10  ,Misc
8917, TimeSplitters: Future Perfect     ,Electronic Arts  ,Free Radical Design  ,,,,0.16,0.12,0.03,,0.01,21 Mar 05  ,Shooter
8918, Midway Arcade Treasures 3     ,Midway Games  ,Digital Eclipse  ,,,,0.16,0.08,0.06,,0.02,27 Sep 05  ,Misc
8919, Dr. Muto     ,Midway Games  ,Midway  ,,,,0.16,0.08,0.06,,0.02,19 Nov 02  ,Platform
8920, Warriors Orochi 3     ,Ubisoft Annecy  ,Omega Force  ,,,,0.16,0.09,0.03,0.03,0.01,27 Mar 12  ,Action
8921, DS Rakubiki Jiten     ,Nintendo  ,Nintendo  ,,,,0.16,,,0.16,,16 Jun 05  ,Misc
8922, Fatal Frame II: Crimson Butterfly     ,Tecmo  ,Tecmo  ,,7.8  ,,0.16,0.08,0.06,,0.02,10 Dec 03  ,Action
8923, SeaWorld Adventure Parks: Shamu's Deep Sea Adventure     ,Activision  ,Sand Grain Studios  ,,,,0.16,0.08,0.06,,0.02,01 Nov 05  ,Adventure
8924, Dewy's Adventure     ,Konami  ,Konami  ,,,,0.16,0.14,0.00,0.01,0.01,25 Sep 07  ,Platform
8925, Bulletstorm     ,Electronic Arts  ,People Can Fly  ,,8.7  ,,0.16,0.07,0.08,,0.02,22 Feb 11  ,Shooter
8926, Just Cause 3     ,Square Enix  ,Avalanche Studios  ,,7.6  ,,0.16,0.03,0.12,,0.01,01 Dec 15  ,Action
8927, Shadow Man: 2econd Coming     ,Acclaim Entertainment  ,Acclaim Studios Teesside  ,,,,0.16,0.08,0.06,,0.02,02 Mar 02  ,Adventure
8928, Yu-Gi-Oh! 5D's Tag Force 6     ,Konami  ,Konami  ,,,,0.16,,,0.16,,22 Sep 11  ,Strategy
8929, Dynasty Warriors 4     ,KOEI  ,Omega Force  ,,,,0.16,0.12,0.03,,0.01,05 Sep 03  ,Action
8930, TimeShift     ,Sierra Entertainment  ,Saber Interactive  ,,,,0.16,0.14,0.00,,0.02,19 Nov 07  ,Shooter
8931, Wakeboarding Unleashed Featuring Shaun Murray     ,Activision  ,Shaba Games  ,,,,0.16,0.08,0.06,,0.02,10 Jun 03  ,Sports
8932, Rudolph the Red-Nosed Reindeer     ,Crave Entertainment  ,High Voltage Software  ,,,,0.16,0.15,,,0.01,26 Oct 10  ,Action
8933, The Incredibles: Rise of the Underminer     ,THQ  ,Heavy Iron Studios  ,,6.7  ,,0.16,0.12,0.03,,0.00,01 Nov 05  ,Platform
8934, Jikkyou Powerful Pro Yakyuu 3 '97 Haru     ,Konami  ,Diamond Head  ,,,,0.16,,,0.16,0.00,20 Mar 97  ,Sports
8935, Alone in the Dark: The New Nightmare     ,Infogrames  ,Darkworks  ,,7.2  ,,0.16,0.09,0.06,,0.01,18 Jun 01  ,Adventure
8936, Just Dance: Disney Party     ,Ubisoft  ,Unknown  ,,,,0.16,0.13,0.02,,0.02,23 Oct 12  ,Misc
8937, The BIGS     ,2K Sports  ,Blue Castle Games  ,,,,0.16,0.15,,,0.01,25 Jun 07  ,Sports
8938, The King of Fighters XII     ,Ignition Entertainment  ,SNK Playmore Corporation  ,,6.0  ,,0.16,0.11,0.01,0.03,0.01,28 Jul 09  ,Fighting
8939, Flushed Away     ,D3 Publisher  ,Monkey Bar Games  ,,,,0.16,0.12,0.03,,0.00,24 Oct 06  ,Platform
8940, Adventure Time: Explore the Dungeon Because I Don't Know!     ,D3Publisher  ,Way Forward  ,,,,0.16,0.10,0.04,,0.01,19 Nov 13  ,Action-Adventure
8941, Summon Night EX-Thesis: Yoake no Tsubasa     ,Banpresto  ,Flight-Plan  ,,,,0.16,,,0.16,,04 Aug 05  ,Role-Playing
8942, Pro Yakyuu Spirits 3     ,Konami  ,PawaPuro Production  ,,,,0.16,,,0.16,,06 Apr 06  ,Sports
8943, Sid Meier's Pirates!     ,2K Games  ,Firaxis Games  ,,6.5  ,,0.16,0.13,0.02,,0.01,05 Oct 10  ,Strategy
8944, Our House     ,Majesco  ,Majesco  ,,,,0.16,0.15,,,0.01,22 Sep 09  ,Simulation
8945, Silent Scope 3     ,Konami  ,Konami Computer Entertainment Tokyo  ,,,,0.16,0.08,0.06,,0.02,15 Oct 02  ,Shooter
8946, NASCAR Heat 2002     ,Infogrames  ,Crawfish Interactive  ,,,,0.16,0.12,0.04,,0.00,06 May 02  ,Racing
8947, Namco Classic Fighter Collection     ,Namco Bandai  ,Namco Bandai Games  ,,,,0.16,0.08,0.06,,0.02,19 Sep 08  ,Fighting
8948, Grease Dance     ,505 Games  ,505 Games  ,,,,0.16,0.11,0.03,,0.01,18 Oct 11  ,Misc
8949, Tak: Mojo Mistake     ,THQ  ,THQ  ,,,,0.16,0.15,,,0.01,13 Oct 08  ,Action
8950, International Superstar Soccer Deluxe     ,Konami  ,Konami  ,,,,0.16,,,0.16,0.00,01 Nov 95  ,Sports
8951, Eragon     ,Sierra Entertainment  ,Amaze Entertainment  ,,6.8  ,,0.16,0.13,0.02,,0.01,14 Nov 06  ,Action
8952, Bakugan Battle Brawlers: Defenders of the Core     ,Activision  ,Now Production  ,,,,0.16,0.14,0.00,,0.01,02 Nov 10  ,Action
8953, Intellivision Lives!     ,Crave Entertainment  ,Realtime Associates  ,,,,0.16,0.08,0.06,,0.02,20 Nov 03  ,Misc
8954, World Series of Poker: Tournament of Champions 2007 Edition     ,Activision  ,Left Field Productions  ,,6.9  ,,0.16,0.15,0.00,,0.01,21 Sep 06  ,Misc
8955, Robots     ,VU Games  ,Eurocom Entertainment Software  ,,,,0.16,0.12,0.03,,0.00,24 Feb 05  ,Action
8956, Klonoa     ,Namco Bandai  ,Paon Corporation  ,7.2  ,7.6  ,,0.16,0.10,0.02,0.03,0.01,05 May 09  ,
8957, Watchmen: The End is Nigh - The Complete Experience     ,Warner Bros. Interactive  ,Deadline Games  ,,,,0.16,0.08,0.06,,0.02,21 Jul 09  ,Action
8958, Heroes Over Europe     ,Ubisoft  ,Transmission Games  ,,,,0.16,0.12,0.02,,0.02,15 Sep 09  ,Simulation
8959, Berserk and the Band of the Hawk     ,Tecmo Koei  ,Omega Force  ,,,,0.16,0.07,0.02,0.05,0.02,21 Feb 17  ,Action
8960, Ready 2 Rumble Revolution     ,Atari  ,10tacle Studios AG  ,,3.1  ,,0.16,0.15,0.00,,0.01,17 Mar 09  ,Sports
8961, SimEarth: The Living Planet     ,FCI  ,Tomcat System  ,,,,0.16,,,0.16,0.00,01 Feb 93  ,Simulation
8962, Culdcept SAGA     ,Namco Bandai  ,OmiyaSoft  ,,7.7  ,,0.16,0.12,,0.03,0.01,05 Feb 08  ,Role-Playing
8963, Sengoku Basara: Chronicle Heroes     ,Capcom  ,Access Games  ,,,,0.16,,,0.16,,21 Jul 11  ,Action
8964, The Wild Thornberrys: Chimp Chase     ,THQ  ,Helixe  ,,,,0.16,0.11,0.04,,0.00,05 Oct 01  ,Action
8965, Rayman Legends     ,Ubisoft  ,Ubisoft Montpellier  ,,,,0.16,0.01,0.12,,0.03,03 Sep 13  ,Platform
8966, Innocent Life: A Futuristic Harvest Moon     ,Natsume  ,ArtePiazza  ,,6.5  ,,0.16,0.08,0.03,0.03,0.02,15 May 07  ,Simulation
8967, Power Stakes     ,Aques  ,TOSE  ,,,,0.16,,,0.15,0.01,11 Apr 97  ,Fighting
8968, Asteroids Hyper 64     ,Crave Entertainment  ,Syrox Developments  ,,5.6  ,,0.16,0.13,0.03,,0.00,14 Dec 99  ,Shooter
8969, Buck Bumble     ,Ubisoft  ,Argonaut Games  ,,6.8  ,,0.16,0.13,0.03,,0.00,30 Sep 98  ,Action
8970, California Speed     ,Midway Games  ,Atari Games  ,,,,0.16,0.13,0.03,,0.00,28 Feb 99  ,Racing
8971, Destruction Derby 64     ,THQ  ,Looking Glass Studios  ,,,,0.16,0.13,0.03,,0.00,30 Sep 99  ,Racing
8972, Fighters Destiny     ,Ocean  ,Opus Studio  ,,,,0.16,0.13,0.03,,0.00,31 Jan 98  ,Fighting
8973, Hydro Thunder     ,Midway Games  ,Eurocom Entertainment Software  ,,,,0.16,0.13,0.03,,0.00,29 Feb 00  ,Racing
8974, Jikkyou Powerful Pro Yakyuu Basic-han 2001     ,Konami  ,Diamond Head  ,,,,0.16,,,0.12,0.04,29 Mar 01  ,Sports
8975, Space Invaders     ,Activision  ,"Z-Axis, Ltd.  ",,,,0.16,0.13,0.03,,0.00,30 Nov 99  ,Shooter
8976, Starcraft 64     ,Nintendo  ,Mass Media  ,,8.0  ,,0.16,0.13,0.03,,0.00,13 Jun 00  ,Strategy
8977, The Powerpuff Girls: Chemical X-Traction     ,BAM! Entertainment  ,VIS Entertainment  ,,,,0.16,0.13,0.03,,0.00,14 Oct 01  ,Action
8978, Tom and Jerry in Fists of Furry     ,NewKidCo  ,VIS Entertainment  ,,,,0.16,0.13,0.03,,0.00,12 Nov 00  ,Fighting
8979, Wonder Project J2: Koruro no Mori no Josette     ,Enix  ,Givro Corporation  ,,,,0.16,,,0.12,0.04,22 Nov 96  ,Simulation
8980, WRC 2: FIA World Rally Championship     ,Ubisoft  ,Milestone S.r.l  ,,,,0.16,,0.13,,0.03,14 Oct 11  ,Racing
8981, Legends of Chima: Laval's Journey     ,Warner Bros. Interactive Entertainment  ,Unknown  ,,,,0.16,0.01,0.11,,0.04,25 Jun 13  ,Misc
8982, Finding Nemo: Escape to the Big Blue     ,THQ  ,Altron  ,,,,0.16,0.12,0.03,,0.01,09 Feb 06  ,Action
8983, Around The World in 80 Days     ,PlayV  ,PlayV  ,,,,0.16,,0.14,,0.02,05 Mar 10  ,Puzzle
8984, Minna no DS Seminar: Kanpeki Kanji Ryoku     ,TDK Core  ,TDK Core  ,,,,0.16,,,0.16,,20 Jul 06  ,Misc
8985, Macross Ace Frontier     ,Namco Bandai  ,ArtDink  ,,,,0.16,,,0.16,,09 Oct 08  ,Simulation
8986, Solitaire Overload Plus     ,Telegames  ,Cosmigo  ,,,,0.16,0.15,,,0.01,05 Oct 10  ,Misc
8987, Black & Bruised     ,Majesco  ,Digital Fiction  ,,,,0.16,0.08,0.06,,0.02,26 Jan 03  ,Fighting
8988, Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress     ,Namco Bandai  ,CyberConnect2  ,,6.2  ,,0.16,0.14,0.00,,0.01,24 Jun 08  ,Fighting
8989, BlazBlue: Chrono Phantasma Extend     ,Aksys Games  ,Unknown  ,,,,0.16,0.08,0.04,0.02,0.02,30 Jun 15  ,Fighting
8990, Take A Break's: Puzzle Master     ,Ubisoft  ,Ubisoft  ,,,,0.16,,0.15,,0.01,13 Nov 09  ,Puzzle
8991, Spyro: Shadow Legacy     ,Vivendi Games  ,Amaze Entertainment  ,,,,0.16,0.14,0.01,,0.01,18 Oct 05  ,Action
8992, Blitz: The League     ,Midway Games  ,Midway Games  ,,6.5  ,,0.16,0.15,0.00,,0.01,13 Nov 06  ,Sports
8993, .hack//G.U. Vol.2//Reminisce (jp sales)     ,Namco Bandai  ,CyberConnect2  ,,,,0.16,,,0.16,,08 May 07  ,Role-Playing
8994, Rapala Pro Fishing     ,Activision  ,FUN Labs  ,,,,0.16,0.12,0.03,,0.01,31 Aug 04  ,Sports
8995, Pro Baseball Spirits 2015     ,Konami Digital Entertainment  ,"Konami Digital Entertainment, Inc.  ",,,,0.16,,,0.16,,26 Mar 15  ,Action
8996, Ghost in the Shell: Stand Alone Complex     ,Bandai  ,Cavia Inc.  ,,6.6  ,,0.16,0.08,0.06,,0.02,08 Nov 04  ,Adventure
8997, Ener-G: Dance Squad     ,Ubisoft  ,Lexis Numerique  ,,,,0.16,0.15,0.00,,0.01,21 Oct 08  ,Sports
8998, TNA iMPACT!     ,Midway Games  ,Midway Studios Los Angeles  ,4.9  ,5.3  ,,0.16,0.14,0.01,,0.01,16 Sep 08  ,
8999, MXGP 3: The Official Motocross Videogame     ,Milestone  ,Milestone  ,,,,0.16,0.06,0.08,,0.03,20 Jun 17  ,Racing
9000, Battle Soccer: Field no Hasha     ,Banpresto  ,Banpresto  ,,,,0.16,,,0.16,,11 Dec 92  ,Sports
9001, Rudolph the Red-Nosed Reindeer     ,Crave Entertainment  ,Glyphic Entertainment  ,,,,0.16,0.15,,,0.01,26 Oct 10  ,Action
9002, Scarface: Money. Power. Respect.     ,Sierra Entertainment  ,Radical Entertainment  ,,6.4  ,,0.16,0.15,0.00,,0.01,08 Oct 06  ,Strategy
9003, Yomawari     ,NIS America  ,Unknown  ,,,,0.16,0.05,0.02,0.07,0.02,25 Oct 16  ,Adventure
9004, Senran Kagura: Peach Beach Splash     ,Xseed Games  ,Marvelous Entertainment  ,,,,0.16,0.04,0.02,0.08,0.01,26 Sep 17  ,Action
9005, FlatOut 2     ,Vivendi Games  ,Bugbear Entertainment  ,,,,0.16,0.08,0.06,,0.02,01 Aug 06  ,Racing
9006, Custom Robo Arena     ,Nintendo  ,Noise Inc.  ,,7.4  ,,0.16,0.01,0.02,0.12,0.00,19 Mar 07  ,Fighting
9007, Famista Returns     ,Namco Bandai Games  ,Unknown  ,,,,0.16,,,0.16,,08 Oct 15  ,Sports
9008, FIFA Soccer 96     ,EA Sports  ,Extended Play Productions  ,,,,0.16,0.09,0.06,,0.01,01 Nov 95  ,Sports
9009, NCAA Final Four 2001     ,Sony Computer Entertainment  ,989 Sports  ,,,,0.16,0.09,0.06,,0.01,13 Nov 00  ,Sports
9010, Deadly Premonition     ,Ignition Entertainment  ,Access Games  ,,,,0.16,0.08,0.05,0.00,0.03,30 Apr 13  ,Action
9011, 3rd Super Robot Wars Z: Tengoku-Hen     ,Namco Bandai Games  ,Banpresto  ,,,,0.16,,,0.16,,02 Apr 15  ,Action
9012, J-League Jikkyou Winning Eleven 2000     ,Konami  ,Konami  ,,,,0.16,,,0.15,0.01,29 Jun 00  ,Sports
9013, Vegas Party     ,Storm City Games  ,Game Life  ,,,,0.16,0.15,,,0.01,27 Oct 09  ,Misc
9014, Sid Meier's Civilization IV     ,2K Games  ,Firaxis Games  ,,9.4  ,,0.16,0.02,0.12,,0.02,25 Oct 05  ,Strategy
9015, Eve: The Lost One     ,Imagineer  ,C's Ware  ,,,,0.16,,,0.16,,12 Mar 98  ,Adventure
9016, Shaun White Skateboarding     ,Ubisoft  ,Ubisoft Montreal  ,,6.1  ,,0.16,0.10,0.05,,0.01,24 Oct 10  ,Sports
9017, BlazBlue Central Fiction     ,Aksys Games  ,Arc System Works  ,,,,0.16,0.09,,0.05,0.02,01 Nov 16  ,Fighting
9018, Disgaea 4: A Promise Unforgotten     ,NIS America  ,Unknown  ,,,,0.16,0.03,0.03,0.08,0.02,31 Dec 20  ,Misc
9019, Konami Krazy Racers     ,Konami  ,KCEK  ,,7.7  ,,0.16,0.09,0.03,0.04,0.00,10 Jun 01  ,Racing
9020, Saturday Night Slam Masters     ,Capcom  ,Capcom  ,,,,0.16,,,0.16,0.00,01 Jun 94  ,Fighting
9021, F-Zero: GP Legend     ,Nintendo  ,Suzak  ,,7.1  ,,0.16,0.11,0.04,,0.00,20 Sep 04  ,Racing
9022, Racing Lagoon - High Speed Driving RPG     ,Square  ,SquareSoft  ,,,,0.16,,,0.15,0.01,10 Jun 99  ,Racing
9023, Field Commander     ,Sony Online Entertainment  ,Sony Online Entertainment  ,,7.7  ,,0.16,0.14,0.00,,0.01,23 May 06  ,Strategy
9024, Mr. Driller 2     ,Namco  ,Namco  ,,,,0.16,0.00,0.00,0.15,0.00,10 Apr 05  ,Puzzle
9025, The Walking Dead: Season One     ,Telltale Games  ,Telltale Games  ,,,,0.16,0.08,0.06,,0.01,14 Oct 14  ,Adventure
9026, Wildstar     ,Carbine Studios  ,Unknown  ,,,,0.16,0.08,0.07,,0.01,03 Jun 14  ,Misc
9027, NBA 2K12     ,2K Sports  ,Visual Concepts  ,,8.5  ,,0.16,0.09,0.05,,0.02,04 Oct 11  ,Sports
9028, Burger Island     ,Destineer  ,TechFront  ,,,,0.16,0.15,,,0.01,17 Dec 08  ,Simulation
9029, Imagine: Ice Champions     ,Ubisoft  ,Spike Co.  ,,,,0.16,0.15,,,0.01,25 Feb 09  ,Sports
9030, J-League Pro Soccer Club o Tsukurou! 6: Pride of J     ,Sega  ,Sega  ,,,,0.16,,,0.16,,12 Nov 09  ,Sports
9031, Ener-G Horse Riders     ,Ubisoft  ,Lexis Numerique  ,,,,0.16,0.14,0.01,,0.01,21 Oct 08  ,Sports
9032," BCFX: The Black College Football Xperience, The Doug Williams Edition     ",Aspyr  ,Nerjyzed Entertainment  ,,,,0.16,0.15,,,0.01,29 Sep 09  ,Sports
9033, Dragon Ball: Origins 2     ,Namco Bandai  ,Game Republic  ,,6.9  ,,0.16,0.05,0.02,0.08,0.01,22 Jun 10  ,Action
9034, Left Brain Right Brain: Use Both Hands Train Both Sides     ,Majesco  ,Japan Art Media  ,,,,0.16,0.15,0.00,,0.01,04 Dec 07  ,Misc
9035, Family Party: 30 Great Games Outdoor Fun     ,D3 Publisher  ,TamSoft Corporation  ,,,,0.16,0.14,0.01,,0.01,29 Sep 09  ,Misc
9036, Yu-Gi-Oh! 5D's: Duel Transer     ,Konami  ,Konami  ,,,,0.16,0.11,0.02,0.02,0.01,07 Dec 10  ,Strategy
9037, Dynasty Warriors 8: Xtreme Legends     ,Tecmo Koei  ,Unknown  ,,,,0.16,0.02,0.02,0.11,0.01,25 Mar 14  ,Misc
9038, One Piece: Burning Blood     ,Namco Bandai Games  ,Screenlife  ,,,,0.16,0.08,0.07,,0.01,31 May 16  ,Fighting
9039, Power Rangers Double Pack     ,THQ  ,THQ  ,,,,0.16,0.11,0.04,,0.00,22 Mar 05  ,Action
9040, Shinobido 2: Revenge of Zen     ,Namco Bandai  ,Acquire  ,,,,0.16,0.05,0.06,0.02,0.03,21 Feb 12  ,Action
9041, Attouteki Yuugi: Mugen Souls     ,NIS America  ,Unknown  ,,,,0.16,0.04,0.03,0.08,0.01,30 Sep 12  ,Misc
9042, James Noir's Hollywood Crimes     ,Ubisoft  ,Ubisoft  ,,,,0.16,0.07,0.07,,0.01,01 Nov 11  ,Adventure
9043, WWE 2K18     ,2K Sports  ,Yuke's  ,,,,0.16,0.09,0.05,,0.01,05 Dec 17  ,Sports
9044, Naruto: SD Powerful Shippuden     ,Namco Bandai Games  ,Unknown  ,,,,0.16,0.08,0.02,0.04,0.01,05 Mar 13  ,Misc
9045, Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3     ,Syscom  ,Unknown  ,,,,0.16,,,0.15,0.01,06 Aug 98  ,Misc
9046, FIFA Soccer 97     ,EA Sports  ,EA Canada  ,,,,0.16,0.09,0.06,,0.01,30 Nov 96  ,Sports
9047, Just Sing!     ,Conspiracy Entertainment  ,Engine Software  ,,,,0.16,0.14,0.00,,0.01,22 Jun 10  ,Misc
9048, Ride 2     ,Milestone S.r.l  ,Milestone S.r.l.  ,,,,0.16,0.06,0.06,0.01,0.02,14 Feb 17  ,Racing
9049, Transformer: Rise of the Dark Spark     ,Activision  ,Unknown  ,,,,0.16,0.09,0.06,,0.01,24 Jun 14  ,Misc
9050, Darksiders II     ,THQ  ,Vigil Games  ,,8.2  ,,0.16,0.07,0.07,,0.01,18 Nov 12  ,Action-Adventure
9051, Psychic Force     ,Acclaim Entertainment  ,Taito Corporation  ,,,,0.16,0.01,0.01,0.13,0.01,03 Oct 96  ,Fighting
9052, Castlevania: Lords of Shadow - Mirror of Fate     ,Konami Digital Entertainment  ,Unknown  ,,,,0.16,0.04,0.08,0.03,0.01,05 Mar 13  ,Misc
9053, The Adventures of Tintin: The Game     ,Ubisoft  ,Ubisoft Montpellier  ,,,,0.16,0.05,0.09,,0.02,06 Dec 11  ,Adventure
9054, Trigger Man     ,Crave Entertainment  ,Point of View  ,,,,0.16,0.08,0.06,,0.02,05 Oct 04  ,Shooter
9055, StarBlade α     ,Sony Computer Entertainment  ,Namco  ,,,,0.16,,,0.15,0.01,01 Feb 96  ,Shooter
9056, Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui     ,Namco Bandai  ,Bandai Namco Games  ,,,,0.16,,,0.16,,07 Feb 08  ,Strategy
9057, Time Hollow     ,Konami  ,Tenky  ,7.4  ,,,0.16,0.03,0.01,0.11,0.00,23 Sep 08  ,
9058, Medieval Games     ,Vir2L Studios  ,N-Fusion Interactive  ,,,,0.16,0.14,0.01,,0.01,20 Oct 09  ,Action
9059, Tiger Woods PGA Tour 2004     ,EA Sports  ,EA Redwood Shores  ,,,,0.16,0.12,0.03,,0.00,22 Sep 03  ,Sports
9060, LEGO The Hobbit     ,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,,,0.16,0.02,0.10,,0.03,08 Apr 14  ,Action-Adventure
9061, Gundam Breaker 2     ,Namco Bandai Games  ,Namco Bandai Games  ,,,,0.16,,,0.16,,18 Dec 14  ,Action
9062, Amped 3     ,2K Sports  ,2K Sports  ,,7.2  ,,0.16,0.13,0.02,,0.01,16 Nov 05  ,Sports
9063, Bomberman Land Touch! 2     ,Hudson Entertainment  ,Hudson Soft  ,,,,0.16,0.13,0.00,0.01,0.01,29 Jan 08  ,Puzzle
9064, MotionSports: Adrenaline     ,Ubisoft  ,Ubisoft Vancouver  ,,,,0.16,0.08,0.05,,0.03,01 Nov 11  ,Sports
9065, MX 2002 Featuring Ricky Carmichael     ,THQ  ,Tiertex Design Studios  ,,,,0.16,0.11,0.04,,0.00,15 Sep 01  ,Racing
