,Name,Platform,Publisher,Chartz_Score,User_Score,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year_of_Release,Genre
70, Final Fantasy X     ,Square  ,SquareSoft  ,,9.0  ,10.0  ,8.05,2.91,2.07,2.73,0.33,17 Dec 01  ,Role-Playing
71, FIFA 13     ,EA Sports  ,EA Canada  ,,,,8.01,1.07,5.13,0.13,1.68,25 Sep 12  ,Sports
72, The Sims 3     ,Electronic Arts  ,EA Redwood Shores  ,8.8  ,8.5  ,,7.96,1.00,6.46,,0.50,02 Jun 09  ,
73, Final Fantasy VIII     ,Square EA  ,SquareSoft  ,,9.4  ,,7.86,2.28,1.72,3.63,0.23,07 Sep 99  ,Role-Playing
74, Pac-Man     ,Atari  ,Atari  ,,,,7.81,7.28,0.45,,0.08,01 Mar 82  ,Misc
75, Gran Turismo 4     ,Sony Computer Entertainment  ,Polyphony Digital  ,,8.7  ,,11.66,3.01,0.01,1.10,7.53,22 Feb 05  ,Racing
76, Super Mario 3D Land     ,Nintendo  ,Nintendo EAD Tokyo  ,,8.9  ,,11.25,4.94,3.33,2.15,0.83,13 Nov 11  ,Platform
77, Grand Theft Auto IV     ,Rockstar Games  ,Rockstar North  ,9.0  ,10.0  ,,11.09,6.80,3.11,0.14,1.04,29 Apr 08  ,
78, FIFA 18     ,EA Sports  ,EA Vancouver  ,,8.3  ,,10.99,1.09,8.17,0.12,1.61,29 Sep 17  ,Sports
79, FIFA 17     ,Electronic Arts  ,EA Canada  ,,8.9  ,,10.91,1.25,7.93,0.12,1.61,27 Sep 16  ,Sports
80, Call of Duty: Modern Warfare 2     ,Activision  ,Infinity Ward  ,9.0  ,9.5  ,,10.61,4.99,3.66,0.38,1.59,10 Nov 09  ,Shooter
81, Super Mario All-Stars     ,Nintendo  ,Nintendo EAD  ,,,9.5  ,10.55,5.99,2.15,2.12,0.29,01 Aug 93  ,Platform
82, Animal Crossing: New Leaf     ,Nintendo  ,Nintendo EAD  ,,8.6  ,,10.49,2.34,2.89,4.79,0.46,09 Jun 13  ,Simulation
83, Super Mario 64 DS     ,Nintendo  ,Nintendo EAD  ,,,,10.32,5.01,3.08,1.25,0.97,20 Nov 04  ,Platform
84, Call of Duty: Ghosts     ,Activision  ,Infinity Ward  ,,7.5  ,,10.13,4.11,4.01,0.39,1.62,05 Nov 13  ,Shooter
85, Halo: Reach     ,Microsoft  ,Bungie Software  ,,9.3  ,,9.96,7.08,2.01,0.08,0.80,14 Sep 10  ,Shooter
86, Mario Kart 64     ,Nintendo  ,Nintendo EAD  ,,8.5  ,,9.87,5.55,1.94,2.23,0.15,10 Feb 97  ,Racing
87, Final Fantasy VII     ,Sony Computer Entertainment  ,SquareSoft  ,,9.6  ,9.5  ,9.72,3.01,2.47,3.28,0.96,03 Sep 97  ,Shooter
88, Just Dance 2     ,Ubisoft  ,Ubisoft Paris  ,,7.3  ,,9.45,5.80,2.86,0.01,0.77,12 Oct 10  ,Misc
89, Donkey Kong Country     ,Nintendo  ,Rare Ltd.  ,,9.0  ,,9.30,4.36,1.71,3.00,0.23,21 Nov 94  ,Platform
90, The Elder Scrolls V: Skyrim     ,Bethesda Softworks  ,Bethesda Game Studios  ,,9.3  ,,8.87,5.10,2.83,0.10,0.85,11 Nov 11  ,Role-Playing
91, Super Mario Kart     ,Nintendo  ,Nintendo EAD  ,,10.0  ,,8.76,3.54,1.24,3.81,0.18,01 Sep 92  ,Platform
92, Wii Party     ,Nintendo  ,"Nd Cube Co., Ltd.  ",,7.0  ,,8.41,1.75,3.50,2.49,0.66,03 Oct 10  ,Party
93, FIFA 16     ,EA Sports  ,EA Canada  ,,8.5  ,,8.21,1.15,5.77,0.07,1.23,22 Sep 15  ,Sports
94, Call of Duty: Infinite Warfare     ,Activision  ,Infinity Ward  ,,,,8.16,3.00,3.66,0.19,1.31,04 Nov 16  ,Shooter
95, GoldenEye 007     ,Nintendo  ,Rare Ltd.  ,,9.8  ,,8.09,5.80,2.01,0.13,0.15,25 Aug 97  ,Misc
96, Fallout 4     ,Bethesda Softworks  ,Bethesda Game Studios  ,,8.6  ,,8.03,2.78,3.71,0.27,1.26,10 Nov 15  ,Role-Playing
97, Mario & Sonic at the Olympic Games     ,Sega  ,Sega  ,,7.2  ,,8.00,2.57,3.87,0.66,0.90,06 Nov 07  ,Sports
98, Star Wars Battlefront (2015)     ,Electronic Arts  ,EA DICE  ,,7.1  ,,7.94,3.28,3.14,0.23,1.29,17 Nov 15  ,
99, Grand Theft Auto V     ,Rockstar Games  ,Rockstar North  ,,9.0  ,9.0  ,7.84,4.11,3.05,0.01,0.68,18 Nov 14  ,Action
100, Grand Theft Auto: Liberty City Stories     ,Rockstar Games  ,Rockstar Leeds  ,,8.8  ,,7.72,2.90,2.83,0.24,1.74,25 Oct 05  ,Action
101, The Legend of Zelda: Ocarina of Time     ,Nintendo  ,Nintendo EAD  ,,9.9  ,10.0  ,7.60,4.10,1.89,1.45,0.16,23 Nov 98  ,Adventure
102, Super Mario Galaxy 2     ,Nintendo  ,Nintendo EAD Tokyo  ,9.6  ,9.7  ,9.8  ,7.57,3.59,2.37,0.98,0.62,23 May 10  ,Platform
103, Call of Duty: Advanced Warfare     ,Activision  ,Sledgehammer Games  ,,8.5  ,,7.53,2.84,3.34,0.14,1.22,04 Nov 14  ,Shooter
104, Super Mario Bros. 2     ,Nintendo  ,Nintendo EAD  ,,,,7.46,5.39,1.18,0.70,0.19,01 Oct 88  ,Platform
105, Call of Duty: Black Ops 3     ,Activision  ,Treyarch  ,,,,7.28,4.56,2.02,0.02,0.67,06 Nov 15  ,Shooter
106, Battlefield 3     ,Electronic Arts  ,Dice  ,,8.5  ,,7.21,2.86,2.94,0.35,1.07,25 Oct 11  ,Shooter
107, Need for Speed Underground     ,Electronic Arts  ,EA Black Box  ,,8.6  ,,7.20,3.27,2.83,0.08,1.02,17 Nov 03  ,Racing
108, Tekken 3     ,Namco  ,Namco  ,,9.6  ,,7.16,3.27,2.22,1.40,0.29,29 Apr 98  ,Fighting
109, Super Smash Bros. Melee     ,Nintendo  ,HAL Laboratory  ,,9.2  ,,7.07,4.41,1.04,1.39,0.22,02 Dec 01  ,Fighting
110, Mario Kart: Double Dash!!     ,Nintendo  ,Nintendo EAD  ,,8.5  ,,6.95,4.12,1.77,0.87,0.19,17 Nov 03  ,Racing
111, Just Dance 4     ,Ubisoft  ,Ubisoft  ,,,,6.89,4.05,2.21,,0.62,09 Oct 12  ,Music
112, Medal of Honor: Frontline     ,Electronic Arts  ,EA Los Angeles  ,,9.0  ,,6.83,2.93,2.75,0.17,0.99,28 May 02  ,Shooter
113, Zumba Fitness     ,Majesco  ,"Pipeworks Software, Inc.  ",,,,6.76,3.47,2.62,,0.67,18 Nov 10  ,Misc
114, Uncharted 2: Among Thieves     ,Sony Computer Entertainment  ,Naughty Dog  ,9.2  ,9.5  ,9.6  ,6.74,3.28,2.22,0.21,1.02,13 Oct 09  ,Action
115, FIFA Soccer 12     ,EA Sports  ,EA Canada  ,,9.2  ,,6.65,0.84,4.33,0.11,1.37,27 Sep 11  ,Sports
116, FIFA Soccer 14     ,EA Sports  ,EA Canada  ,,,,6.61,0.79,4.77,0.07,0.98,24 Sep 13  ,Sports
117, The Legend of Zelda     ,Nintendo  ,Nintendo EAD  ,,,,6.51,3.74,0.93,1.69,0.14,22 Aug 87  ,Adventure
118, Donkey Kong Country Returns     ,Nintendo  ,Retro Studios  ,,8.6  ,,6.50,3.19,1.81,1.03,0.47,21 Nov 10  ,Platform
119, Halo: Combat Evolved     ,Microsoft  ,Bungie Software  ,,9.5  ,,6.43,4.98,1.30,0.08,0.07,14 Nov 01  ,Shooter
120, Pok�mon Emerald Version     ,Nintendo  ,Game Freak  ,,7.7  ,,6.41,2.57,1.58,2.06,0.21,30 Apr 05  ,Role-Playing
121, Pok�mon Crystal Version     ,Nintendo  ,Game Freak  ,,8.7  ,,6.39,2.55,1.56,1.29,0.99,29 Jul 01  ,Role-Playing
122, World of Warcraft     ,Blizzard Entertainment  ,Blizzard Entertainment  ,,9.2  ,8.0  ,6.34,0.11,6.23,,,23 Nov 04  ,Action
123, FIFA 15     ,EA Sports  ,EA Canada  ,,8.1  ,,6.31,0.82,4.49,0.05,0.94,23 Sep 14  ,Sports
124, The Last of Us     ,Sony Computer Entertainment America  ,Naughty Dog  ,,9.5  ,,6.27,2.41,2.57,0.29,0.99,14 Jun 13  ,Misc
125, Pok�mon Platinum Version     ,Nintendo  ,Game Freak  ,,8.3  ,8.9  ,7.72,2.76,1.73,2.69,0.54,22 Mar 09  ,Role-Playing
126, Mario Kart 8     ,Nintendo  ,Nintendo  ,,8.8  ,,7.67,3.21,2.54,1.38,0.54,30 May 14  ,Racing
