0,1,2,3,4
Papaya Studios  ,ID,Asia,-6.93252,110.20341
KCEJ  ,AL,Europe,42.07542,19.51107
Midway Games  ,GB,Europe,51.37953,-0.40979
JapanStudio  ,US,North America,39.390897,-99.066067
Rockstar Vancouver  ,US,North America,45.631061,-122.671567
Supermassive Games Ltd.  ,US,North America,27.04974,-82.08837
Red Zone Entertainment  ,US,North America,37.38248,-89.58565
"Luxoflux, Inc.  ",US,North America,39.390897,-99.066067
SCEI  ,IT,Europe,42.10315,14.57017
Tango Gameworks  ,US,North America,44.81148,-68.7434
Disney Interactive Studios  ,US,North America,28.36302,-81.55318
Ambrella  ,US,North America,40.589142,-80.228194
Sucker Punch  ,PE,South America,-12.15252,-74.54669
Climax Group  ,US,North America,37.46915,-84.22513
Ubisoft Reflections  ,AU,Australia,-38.11868,145.34174
TOSE Software  ,DE,Europe,50.80233,8.76878
Terminal Reality  ,CU,North America,23.01649,-82.37372
Various  ,FI,Europe,62.3142,27.8924
Monolith Soft  ,AU,Australia,-19.26723,146.70784
Ubisoft Milan  ,US,North America,44.572856,-71.184937
ArtePiazza  ,IT,Europe,42.27368,13.84766
Griptonite Games  ,US,North America,27.04974,-82.08837
Genuine  ,CA,North America,43.84914,-79.40658
Square  ,US,North America,37.138275,-76.834992
Team Ninja  ,US,North America,40.17917,-122.2183
Acclaim Entertainment  ,US,North America,36.11243,-115.27136
AKI Corporation / EA Canada  ,US,North America,37.605598,-82.324402
VIS Entertainment  ,AU,Australia,-33.74659,150.95266
Helixe / Altron  ,AR,South America,-26.80086,-59.55752
Capcom/Disney  ,US,North America,39.390897,-99.066067
Realtime Worlds  ,US,North America,36.8522,-79.591103
Big Ape Productions  ,CA,North America,46.46479,-62.25329
989 Studios  ,US,North America,38.5758,-90.7777
Global Star  ,US,North America,32.093899,-90.046097
Magic Pockets  ,AU,Australia,-33.83562,151.24071
3d6 Games  ,BR,South America,-15.61903,-47.65742
Compile  ,IE,Europe,52.29013,-6.94165
Cooking Mama Ltd.  ,MX,North America,20.47755,-89.36474
Point of View  ,US,North America,48.237613,-103.141182
Rebellion Developments  ,AU,Australia,-33.69012,150.94136
TT Fusion  ,TH,Asia,14.31089,100.6068
tri-Ace  ,US,North America,37.96987,-90.16298
Cauldron  ,GB,Europe,50.61662,-1.96549
Firaxis Games  ,US,North America,27.04974,-82.08837
Sony Computer Entertainment America  ,US,North America,33.8153,-94.548302
Webfoot Technologies  ,US,North America,41.7082,-70.23779
Jupiter Multimedia  ,MU,Africa,-20.18852,57.48885
Paradigm Entertainment  ,US,North America,33.64773,-117.74326
Arzest  ,FR,Europe,50.12793,1.61631
Spike  ,US,North America,37.406898,-86.084702
EA Montreal  ,US,North America,46.428394,-90.240042
Micronics  ,RS,Europe,44.25209,20.08172
EA Chicago  ,US,North America,42.586102,-87.824699
HB Studios Multimedia  ,ES,Europe,39.86789,-4.36095
General Entertainment  ,PH,Asia,10.63374,124.45923
Ninja Theory  ,US,North America,33.64318,-117.85539
Monolith Productions  ,US,North America,35.12544,-118.40704
Frontier Studio  ,MX,North America,26.90851,-101.4446
Sony Bend / Naughty Dog  ,DE,Europe,50.76063,6.32578
Konami Computer Entertainment Shinjuku  ,US,North America,39.390897,-99.066067
Relentless Software  ,DE,Europe,50.80233,8.76878
MachineGames  ,NL,Europe,51.44807,5.45678
KCET  ,TH,Asia,13.91252,100.49814
Altron  ,ES,Europe,42.450195,1.103426
Project Soul  ,US,North America,40.82568,-73.89912
EA�Tiburon  ,US,North America,33.30855,-111.67108
Mind Candy  ,US,North America,33.00173,-94.98405
Pivotal Games  ,US,North America,42.35572,-88.01125
Fall Line Studio  ,US,North America,39.72263,-77.18437
CD Projekt Red Studio  ,US,North America,40.03117,-98.53769
Level 5/Studio Ghibli  ,GB,Europe,51.67937,-3.36976
Red Line Studios  ,BM,North America,32.3274,-64.74185
Illusion Softworks  ,US,North America,32.67303,-114.47216
Ubisoft Montreal / Red Storm Entertainment  ,US,North America,37.86175,-81.47951
The Code Monkeys  ,US,North America,37.17193,-88.912
Amusement Vision  ,FR,Europe,43.48506,-0.13916
Visceral Games  ,DK,Europe,55.46148,9.82481
Blue Castle Games  ,US,North America,32.84223,-97.86528
Cavia Inc.  ,AR,South America,-32.89935,-60.7092
Press Start Inc.  ,IT,Europe,46.40477,12.81115
Hyde  ,GB,Europe,53.450869,-2.07826
Psyonix Studios  ,GB,Europe,51.49718,-0.19355
GungHo Online Entertainment  ,US,North America,39.390897,-99.066067
Gremlin Interactive  ,US,North America,42.8935,-78.72392
Genki  ,BR,South America,-23.03953,-47.37331
PlatinumGames  ,TH,Asia,12.99189,101.13365
Hellbent Games  ,US,North America,27.04974,-82.08837
Zoe Mode  ,US,North America,39.266399,-88.733597
Kush Games  ,GB,Europe,51.48602,-0.28803
EA�Canada  ,ES,Europe,41.55446,0.69257
Ubisoft Shanghai  ,US,North America,39.441399,-78.1325
Crytek  ,GR,Europe,35.24882,24.91315
Barking Lizards  ,FR,Europe,43.34261,1.42608
Technos Japan Corporation  ,RU,Europe,54.05088,39.73747
MTO  ,BR,South America,-3.8078,-38.4792
WayForward  ,CA,North America,49.63913,-104.46808
Namco / NOW Production  ,AU,Australia,-31.4937,152.73295
Kaos Studios  ,HU,Europe,47.58763,18.3989
Tom Create  ,GB,Europe,51.49189,0.08065
2K Boston / 2K Australia / 2K Marin  ,ES,Europe,40.962377,-5.695142
Ubisoft Quebec  ,CA,North America,45.99575,-75.54734
Blitz Games  ,BR,South America,-30.14786,-51.20284
Big Park  ,US,North America,34.779166,-111.76289
Sand Grain Studios  ,US,North America,44.64176,-85.68646
Danger Close Games  ,NG,Africa,9.10306,7.4862
Barnstorm Games  ,GB,Europe,51.38118,-0.27684
CyberConnect2  ,AU,Australia,-37.78838,144.83137
SCEA  ,FR,Europe,49.5357,2.57391
Eidos Montreal  ,US,North America,46.428394,-90.240042
"Z-Axis, Ltd.  ",LT,Europe,55.04996,24.17379
Incognito Inc.  ,US,North America,39.39875,-119.78624
Blue Byte Studio  ,US,North America,40.78472,-76.86874
Square Enix / Think and Feel Inc.  ,GB,Europe,54.90691,-1.43227
Namco Bandai  ,KP,Asia,37.99365,126.29065
Nintendo SPD Production Group 1/Team Ninja  ,SI,Europe,45.78871,14.36623
Pitbull Syndicate  ,US,North America,39.617199,-87.4142
